date,All Employees: Professional and Business Services,state,msa,city,title,id,frequency,seasonal_adjustment
1992-08-01,2.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1992-09-01,2.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1992-10-01,2.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1992-11-01,2.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1992-12-01,2.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1993-01-01,2.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1993-02-01,2.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1993-03-01,2.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1993-04-01,2.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1993-05-01,2.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1993-06-01,2.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1993-07-01,2.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1993-08-01,2.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1993-09-01,2.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1993-10-01,2.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1993-11-01,2.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1993-12-01,2.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1994-01-01,2.2,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1994-02-01,2.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1994-03-01,2.3,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1994-04-01,2.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1994-05-01,2.4,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1994-06-01,2.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1994-07-01,2.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1994-08-01,2.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1994-09-01,2.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1994-10-01,2.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1994-11-01,2.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1994-12-01,2.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1995-01-01,2.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1995-02-01,2.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1995-03-01,2.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1995-04-01,2.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1995-05-01,2.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1995-06-01,2.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1995-07-01,2.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1995-08-01,2.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1995-09-01,2.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1995-10-01,2.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1995-11-01,2.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1995-12-01,2.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1996-01-01,2.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1996-02-01,2.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1996-03-01,2.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1996-04-01,2.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1996-05-01,2.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1996-06-01,2.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1996-07-01,2.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1996-08-01,2.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1996-09-01,2.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1996-10-01,2.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1996-11-01,2.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1996-12-01,2.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1997-01-01,2.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1997-02-01,2.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1997-03-01,2.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1997-04-01,2.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1997-05-01,2.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1997-06-01,2.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1997-07-01,3.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1997-08-01,2.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1997-09-01,2.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1997-10-01,2.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1997-11-01,2.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1997-12-01,2.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1998-01-01,2.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1998-02-01,2.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1998-03-01,2.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1998-04-01,2.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1998-05-01,3.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1998-06-01,3.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1998-07-01,2.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1998-08-01,2.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1998-09-01,2.8,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1998-10-01,3.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1998-11-01,2.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1998-12-01,3.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1999-01-01,3.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1999-02-01,3.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1999-03-01,3.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1999-04-01,3.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1999-05-01,3.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1999-06-01,3.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1999-07-01,3.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1999-08-01,3.1,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1999-09-01,2.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1999-10-01,3.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1999-11-01,3.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
1999-12-01,2.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
2000-01-01,2.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
2000-02-01,2.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
2000-03-01,3.0,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
2000-04-01,2.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
2000-05-01,2.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
2000-06-01,2.9,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
2000-07-01,2.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
2000-08-01,2.7,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
2000-09-01,2.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
2000-10-01,2.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
2000-11-01,2.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
2000-12-01,2.6,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
2001-01-01,2.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
2001-02-01,2.5,PA,"Bloomsburg-Berwick, PA",Bloomsburg,"All Employees: Professional and Business Services in Bloomsburg-Berwick, PA (MSA)",SMU42141006000000001SA,Monthly,Seasonally Adjusted
