date,Housing Inventory: Price Increased Count,state,msa,city,title,id,frequency,seasonal_adjustment
2017-12-01,24.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2018-01-01,24.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2018-02-01,24.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2018-03-01,48.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2018-04-01,44.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2018-05-01,44.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2018-06-01,60.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2018-07-01,52.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2018-08-01,44.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2018-09-01,20.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2018-10-01,32.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2018-11-01,28.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2018-12-01,28.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2019-01-01,12.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2019-02-01,28.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2019-03-01,32.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2019-04-01,12.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2019-05-01,12.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2019-06-01,16.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2019-07-01,12.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2019-08-01,76.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2019-09-01,92.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2019-10-01,4.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2019-11-01,8.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2019-12-01,8.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2020-01-01,8.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2020-02-01,8.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2020-03-01,0.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2020-04-01,0.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2020-05-01,8.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2020-06-01,4.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2020-07-01,8.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2020-08-01,16.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2020-09-01,12.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2020-10-01,4.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2020-11-01,8.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2020-12-01,8.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2021-01-01,12.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2021-02-01,4.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2021-03-01,4.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2021-04-01,8.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2021-05-01,16.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2021-06-01,4.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2021-07-01,4.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2021-08-01,16.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2021-09-01,8.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2021-10-01,0.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2021-11-01,4.0,IL,"Rockford, IL",Rockford,"Housing Inventory: Price Increased Count in Rockford, IL (CBSA)",PRIINCCOU40420,Monthly,Not Seasonally Adjusted
2016-07-01,44.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2016-08-01,24.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2016-09-01,16.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2016-10-01,20.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2016-11-01,12.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2016-12-01,28.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2017-01-01,24.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2017-02-01,44.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2017-03-01,52.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2017-04-01,76.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2017-05-01,88.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2017-06-01,112.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2017-07-01,104.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2017-08-01,104.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2017-09-01,88.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2017-10-01,52.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2017-11-01,8.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2017-12-01,8.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2018-01-01,8.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2018-02-01,16.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2018-03-01,8.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2018-04-01,4.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2018-05-01,4.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2018-06-01,24.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2018-07-01,20.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2018-08-01,8.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2018-09-01,20.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2018-10-01,12.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2018-11-01,8.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2018-12-01,8.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2019-01-01,8.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2019-02-01,0.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2019-03-01,0.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2019-04-01,8.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2019-05-01,12.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2019-06-01,12.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2019-07-01,12.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2019-08-01,24.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2019-09-01,44.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2019-10-01,8.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2019-11-01,4.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2019-12-01,8.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2020-01-01,8.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2020-02-01,12.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2020-03-01,4.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2020-04-01,8.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2020-05-01,8.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2020-06-01,12.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2020-07-01,28.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2020-08-01,24.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2020-09-01,12.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2020-10-01,20.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2020-11-01,12.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2020-12-01,16.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2021-01-01,12.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2021-02-01,24.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2021-03-01,20.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2021-04-01,16.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2021-05-01,16.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2021-06-01,16.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2021-07-01,24.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2021-08-01,20.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2021-09-01,8.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2021-10-01,12.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2021-11-01,4.0,NJ,"Trenton-Princeton, NJ",Trenton,"Housing Inventory: Price Increased Count in Trenton, NJ (CBSA)",PRIINCCOU45940,Monthly,Not Seasonally Adjusted
2016-07-01,20.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2016-08-01,40.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2016-09-01,36.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2016-10-01,24.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2016-11-01,24.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2016-12-01,12.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2017-01-01,48.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2017-02-01,24.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2017-03-01,32.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2017-04-01,32.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2017-05-01,48.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2017-06-01,20.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2017-07-01,20.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2017-08-01,32.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2017-09-01,40.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2017-10-01,32.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2017-11-01,24.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2017-12-01,20.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2018-01-01,32.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2018-02-01,36.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2018-03-01,40.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2018-04-01,40.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2018-05-01,32.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
2018-06-01,36.0,KS,"Wichita, KS",Wichita,"Housing Inventory: Price Increased Count in Wichita, KS (CBSA)",PRIINCCOU48620,Monthly,Not Seasonally Adjusted
